"id","name","isMine","harborId","lakeId","hasImg","nrPlate","type","location","pax","sailSize","length"
"50","Sunbeam 22","False","28","14","True","SZ-1583","Kabinenyacht","Am Quai vor dem Schulhaus in Küssnacht, Platz Nr. 21","6","20 m²","6.70 m"
"78","Blickensatorfer Kristall","False","29","14","True","LU-3070","Kabinenyacht","Tribschenhorn, Steg I 53","5","17 m²","6.40 m"
"58","Comet 800","False","29","14","True","LU 3034","Kabinenyacht","Tribschenhorn, Platz F33","7","34 m²","7.70 m"
"12","Comet 850","False","29","14","True","LU 3042","Kabinenyacht","Tribschenhorn, Platz F35","8","42 m²","8.50 m"
"14","Electra","False","29","14","True","LU-3038","Kabinenyacht","Tribschenhorn, Platz F27","4","21 m²","6.10 m"
"160","mOcean","False","29","14","True","LU - 4023","offenes Kielboot","Tribschenhorn, Platz F29","8","37 m²","7.97 m"
"17","Moser M2","False","29","14","True","LU 3215","Kabinenyacht","Tribschenhorn, Platz F31","6","42 m²","8.65 m"
"62","Surprise 'Aeolus 2'","False","6","15","True","GL 453","Kabinenyacht","Aussenmole - Nr. 20","6","25 m²","7.65 m"
"130","Surprise 'sempre avanti'","False","6","15","True","GL - 615","Kabinenyacht","Aussenmole - Nr. 21","6","25 m²","7.65 m"
"174","mOcean","False","7","15","True","GL - 4774","offenes Kielboot","Platz 70","8","37 m²","7.99 m"
"116","Moser m1","False","44","16","True","SZ-2105","Kabinenyacht","Hafen Aazopf, Arth, Platz Nr. 330 (Hafen ist im Umbau dadurch Platzverschiebung!!)","5","24 m²","7.02 m"
"155","Surprise 'Phil good'","False","31","16","True","ZG - 1507","Kabinenyacht","","6","25 m²","7.65 m"
"90","Surprise 'Wai Levu'","False","31","16","True","ZG-157","Kabinenyacht","Platz Nr. 14","6","25 m²","7.65 m"
"118","Fan 25 Laguna 'Bonita'","False","10","17","True","SG 413","Kabinenyacht","Hafen Stampf, Platz 068, Steg 3S","5","32 m²","7.50 m"
"49","Jeanneau Brio 'Opal'","False","10","17","True","SG-896","Kabinenyacht","Hafen Stampf, Platz Nr. 203, Steg 4N","5","20 m²","6.90 m"
"159","Sunbeam 27 'Ruedi's Sif'","False","11","17","True","SG - 4861","Kabinenyacht","Stegplatz Hafen BAD Platz 49 direkt beim Bahnhof","7","28 m²","8.22 m"
"117","Fan 23 'Pamina'","False","35","17","True","SG 3474","Kabinenyacht","Platz 223","5","27 m²","6.90 m"
"123","IF - Boot 'Malin'","False","36","18","True","ZH-5721","Kabinenyacht","Kirche Erlenbach, Bojenfeld vor der Haab","6","25 m²","7.90 m"
"182","mOcean","False","36","18","True","ZH - 7874","offenes Kielboot","Bojenfeld Widen - Boje Nr. 19","8","37 m²","7.97 m"
"177","mOcean","False","61","18","True","ZH - 1093","offenes Kielboot","Platz Nr. 7","8","37 m²","7.97 m"
"136","mOcean progress","False","53","18","True","ZH-1747","offenes Kielboot","Erster Steg (Richtung Zürich), zweitäusserste Box (Nr. 13)","7","37 m²","7.97 m"
"168","mOcean 'Ten'","False","58","18","True","SZ-2328","offenes Kielboot","Nr. 55 - Hafen Pfäffikon","8","37 m²","7.97 m"
"115","TopCat F2","False","34","18","True","ZH-2","Jolle","Trockenplatz","3","15 m²","4.80 m"
"139","Flying Cruiser 'Vega'","False","12","18","True","ZH - 6014","Kabinenyacht","Hafen Enge, Steg 4, Platz 34 ","5","16 m²","5.40 m"
"173","Flying Cruiser F 'Sirius'","False","12","18","True","ZH - 9733","Kabinenyacht","Enge, Verbindungssteg zur Mole, Steg 6 Platz 27","5","16 m²","5.40 m"
"48","Friendship 26 'Balaton'","False","12","18","True","ZH-16666","Kabinenyacht","Dinghi Steg 36108, Yacht: Arboretum, Boje 1-36-107","7","32 m²","8.10 m"
"59","H-Boot 'Camarc II'","False","12","18","True","ZH-9907","Kabinenyacht","Dinghi Steg 36302, Camarc Arboretum, Boje 1-36-101","5","24 m²","8.28 m"
"154","mOcean","False","12","18","True","ZH-4345","offenes Kielboot","Wollishofen - Platz Nr. 04 824","8","37 m²","7.97 m"
"180","Storm 22","False","12","18","True","ZH 14600","Kabinenyacht","Mythenquai, Steg 1, Platz Nr. 18 144 (bei Seepolizei)","5","24 m²","6.58 m"
"73","Yngling 'Lolita'","False","12","18","True","ZH-15378","offenes Kielboot","Enge, Steg 2, Platz Nr. 15, Bootsplatz 6215","4","14 m²","6.40 m"
"135","Yngling 'Merlion'","False","12","18","True","ZH-3954","offenes Kielboot","Hafen Enge, Steg 2, Nr. 06214","4","14 m²","6.35 m"
"26","Yngling 'Navette'","False","12","18","True","ZH 14085","offenes Kielboot","Enge, Steg 4, Platz 05","4","14 m²","6.35 m"
"103","Yngling 'Neni's Traum'","False","12","18","True","ZH-14526","offenes Kielboot","Mythenquai, Steg 1, Platz 13","4","14 m²","6.40 m"
"167","Yngling YB Sober","False","12","18","True","ZH-9722","offenes Kielboot","Enge, Steg 4, Platz 07, neben Navette","4","14 m²","6.35 m"
